time_gmt7,endpoint,source,http_status,status,credits_charged
"Sep 6, 00:15",/v2/index-daily/sti/,direct,200,success,1
"Sep 6, 00:15",/v2/company/report/BBCA.JK/,direct,200,success,1
"Sep 6, 00:15",/v2/company/report/bbca/,direct,200,success,1
"Sep 6, 00:14",/v2/klse/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/sgx/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/subsector/report/,direct,400,error,0
"Sep 6, 00:14",/v2/subsector/report/,direct,400,error,0
"Sep 6, 00:14",/v2/subsector/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 6, 00:14",/v2/company/report/,direct,400,error,0
"Sep 5, 23:56",/v2/listing-performance/BREN/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/sales-destination/pt-adaro-andalan-indonesia-tbk/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/companies/performance/pt-adaro-andalan-indonesia-tbk/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/companies/ownership/pt-adaro-andalan-indonesia-tbk/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/companies/financials/pt-adaro-andalan-indonesia-tbk/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/companies/pt-adaro-andalan-indonesia-tbk/,direct,200,success,1
"Sep 5, 23:56",/v2/mining/companies/,direct,200,success,1
"Sep 5, 23:55",/v2/klse/company/report/2089/,direct,200,success,1
"Sep 5, 23:55",/v2/klse/companies/top/,direct,200,success,1
"Sep 5, 23:55",/v2/sgx/companies/top/,direct,200,success,1
"Sep 5, 23:55",/v2/mining/sales-destination/pt-abm-investama-tbk/,direct,404,error,1
"Sep 5, 23:55",/v2/mining/companies/performance/pt-abm-investama-tbk/,direct,404,error,1
"Sep 5, 23:55",/v2/mining/companies/ownership/pt-abm-investama-tbk/,direct,200,success,1
"Sep 5, 23:55",/v2/mining/companies/financials/pt-abm-investama-tbk/,direct,404,error,1
"Sep 5, 23:55",/v2/mining/companies/pt-abm-investama-tbk/,direct,200,success,1
"Sep 5, 23:54",/v2/klse/companies/top/,direct,400,error,0
"Sep 5, 23:54",/v2/klse/companies/,direct,200,success,1
"Sep 5, 23:54",/v2/sgx/daily/D05.SI/,direct,200,success,1
"Sep 5, 23:54",/v2/sgx/company/report/D05.SI/,direct,200,success,1
"Sep 5, 23:54",/v2/sgx/company/report/,direct,400,error,0
