time_gmt7,endpoint,source,http_status,status,credits_charged
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:30",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:28",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/subsectors/,direct,200,success,1
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 01:27",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 00:16",/v2/companies/,direct,200,success,3
"Sep 6, 00:16",/v2/klse/companies/top/,direct,200,success,5
"Sep 6, 00:16",/v2/sgx/companies/top/,direct,200,success,5
"Sep 6, 00:16",/v2/klse/company/report/2089/,direct,200,success,4
"Sep 6, 00:16",/v2/sgx/company/report/D05.SI/,direct,200,success,4
"Sep 6, 00:16",/v2/companies/top-changes/,direct,200,success,10
"Sep 6, 00:16",/v2/subsector/report/banks/,direct,200,success,6
"Sep 6, 00:16",/v2/company/report/BBCA/,direct,200,success,8
"Sep 6, 00:15",/v2/index-daily/klse/,direct,400,error,0
"Sep 6, 00:15",/v2/subsectors/,direct,200,success,1
"Sep 6, 00:15",/v2/subsectors/,direct,405,error,0
"Sep 6, 00:15",/v2/subsectors/,direct,200,success,1
"Sep 6, 00:15",/v2/index-daily/klse/,direct,400,error,0
